Car,DF,DC,DR,SO_F,SP_F,SB_F,P_F,Toe_F,RH_F,C_F,ST_F,SO_R,SP_R,SB_R,P_R,Toe_R,RH_R,C_R,ST_R,Tread,Compound,Venturi,Pipe,Clutch,Bell,Spur
NB48 2.2 Buggy,7000,7000,5000,450,Green,2.3,1.2x4,-1.0,27.0,-2.0,105,400,Yellow,2.5,1.7x4,3.0,28.0,-3.0,122,Kosmos,Green,7.0,REDS 2143,4-Shoe Med,13,48
NT48 2.2 Truggy,10000,10000,7000,600,Pink,2.5,1.3x8,-1.0,33.0,-2.0,115,500,Red,2.8,1.3x8,3.0,35.0,-3.0,135,Relapse,Green,8.0,REDS 2143,4-Shoe Heavy,13,50
Test Chassis GT,5000,5000,3000,300,White,2.0,1.1x4,0.0,25.0,-1.0,100,300,White,2.2,1.1x4,2.0,26.0,-2.0,110,Blockade,M3,6.5,OS Speed,3-Shoe,14,46
